year,month,peach_serves,tyym_serves,total_serves,ml_used,bottles_used,date
2025,5,27.0,0.0,27.0,675.0,0.9642857142857143,2025-05-01
2025,6,45.0,0.0,45.0,1125.0,1.6071428571428572,2025-06-01
2025,7,63.0,0.0,63.0,1575.0,2.25,2025-07-01
2025,8,52.0,0.0,52.0,1300.0,1.8571428571428572,2025-08-01
2025,9,42.0,68.2,110.2,2755.0,3.9357142857142855,2025-09-01
2025,10,55.0,68.2,123.2,3080.0,4.4,2025-10-01
2025,11,34.0,80.6,114.6,2865.0,4.0928571428571425,2025-11-01
2025,12,44.0,96.1,140.1,3502.5,5.003571428571429,2025-12-01
2026,1,0.0,53.47,53.47,1336.75,1.9096428571428572,2026-01-01
2026,2,0.0,81.99,81.99,2049.75,2.9282142857142857,2026-02-01
2026,3,0.0,81.99,81.99,2049.75,2.9282142857142857,2026-03-01
2026,4,0.0,71.3,71.3,1782.5,2.5464285714285713,2026-04-01
2026,5,0.0,71.3,71.3,1782.5,2.5464285714285713,2026-05-01
2026,6,0.0,99.82,99.82,2495.5,3.565,2026-06-01
2026,7,0.0,85.56,85.56,2139.0,3.0557142857142856,2026-07-01
2026,8,0.0,85.56,85.56,2139.0,3.0557142857142856,2026-08-01
2026,9,0.0,78.43,78.43,1960.7500000000002,2.801071428571429,2026-09-01
2026,10,0.0,78.43,78.43,1960.7500000000002,2.801071428571429,2026-10-01
2026,11,0.0,92.69,92.69,2317.25,3.3103571428571428,2026-11-01
