year,month,baseline_gp,event_gp,delta_gp
2026,6,16578.26,26691.0,10112.74
2025,12,16578.26,25696.31,9118.05
2025,6,16578.26,24867.4,8289.13
2026,11,16578.26,24783.8,8205.53
2026,7,16578.26,22878.0,6299.74
2026,8,16578.26,22878.0,6299.74
2025,7,16578.26,22380.66,5802.39
2026,2,16578.26,21923.94,5345.68
2026,3,16578.26,21923.94,5345.68
2025,11,16578.26,21551.74,4973.48
2026,9,16578.26,20971.87,4393.61
2026,10,16578.26,20971.87,4393.61
2025,3,16414.02,20517.48,4103.46
2025,5,17243.49,20691.97,3448.47
2025,8,16578.26,19893.92,3315.65
2025,2,20707.72,23813.87,3106.15
2026,4,16578.26,19065.0,2486.74
2026,5,16578.26,19065.0,2486.74
2025,9,16578.26,18236.09,1657.83
2025,10,16578.26,18236.09,1657.83
2024,12,31454.17,31454.17,0.0
2025,1,23383.66,23383.66,0.0
2025,4,16836.14,16836.14,0.0
2026,1,16578.26,14298.15,-2280.12
